movie_name,movie_date,director
Okja,1970,Bong Joon Ho
The Nice Guys,1970,Shane Black
Avengers: Age of Ultron,1970,Joss Whedon
No Time to Die,1970,Cary Joji Fukunaga
American Sniper,1970,Clint Eastwood
The Accountant,1970,Gavin O'Connor
Eye in the Sky,1970,Gavin Hood
Black Panther,1970,Ryan Coogler
Southpaw,1970,Antoine Fuqua
Fast Five,1970,Justin Lin
The Next Three Days,1970,Paul Haggis
Bullet Train,1970,David Leitch
Ghajini,1970,A.R. Murugadoss
Master,1970,Lokesh Kanagaraj
Invictus,1970,Clint Eastwood
Max Manus,1970,Directors:Joachim Rønning
Max Manus,1970,Espen Sandberg
Megamind,1970,Tom McGrath
The Adventures of Tintin,1970,Steven Spielberg
Der Baader Meinhof Komplex,1970,Uli Edel
Ant-Man,1970,Peyton Reed
Alita: Battle Angel,1970,Robert Rodriguez
Chi bi,1970,John Woo
Running Scared,1970,Wayne Kramer
Pirates of the Caribbean: Dead Man's Chest,1970,Gore Verbinski
Layer Cake,1970,Matthew Vaughn
Dawn of the Dead,1970,Zack Snyder
Siu Lam juk kau,1970,Stephen Chow
Equilibrium,1970,Kurt Wimmer
X-Men,1970,Bryan Singer
The Negotiator,1970,F. Gary Gray
Enemy of the State,1970,Tony Scott
Starship Troopers,1970,Paul Verhoeven
Men in Black,1970,Barry Sonnenfeld
Grosse Pointe Blank,1970,George Armitage
Face/Off,1970,John Woo
Crimson Tide,1970,Tony Scott
True Lies,1970,James Cameron
Speed,1970,Jan de Bont
Nikita,1970,Luc Besson
Star Trek IV: The Voyage Home,1970,Leonard Nimoy
To Live and Die in L.A.,1970,William Friedkin
The Karate Kid,1970,John G. Avildsen
Beverly Hills Cop,1970,Martin Brest
Assault on Precinct 13,1970,John Carpenter
The Getaway,1970,Sam Peckinpah
Jason and the Argonauts,1970,Don Chaffey
The Suicide Squad,1970,James Gunn
Anthropoid,1970,Sean Ellis
The Siege of Jadotville,1970,Richie Smyth
Bajirao Mastani,1970,Sanjay Leela Bhansali
La isla mínima,1970,Alberto Rodríguez
'71,1970,Yann Demange
Holiday,1970,A.R. Murugadoss
Unbroken,1970,Angelina Jolie
The Man from U.N.C.L.E.,1970,Guy Ritchie
Kon-Tiki,1970,Directors:Joachim Rønning
Kon-Tiki,1970,Espen Sandberg
War Horse,1970,Steven Spielberg
Rise of the Guardians,1970,Peter Ramsey
